date,AAPL,AMZN,ASML,DXCM,INTC,MSFT,NVDA,NFLX,PEP,SGEN
2008/10/6,2.992681123,3.2615,23.96561956,1.4475,11.04701234,18.55126814,1.802166188,3.784285639,44.39947407,8.67
2008/10/7,2.718845006,2.926,22.66893691,1.3075,10.45322727,17.30011878,1.662125248,3.187142793,43.38676098,8.94
2008/10/8,2.738056226,3.051,23.17572074,1.2125,10.60330481,17.13627779,1.696561545,3.248571364,42.38071047,8.62
2008/10/9,2.706037526,2.8,21.84931503,1,10.17917262,16.60751824,1.588661149,3.277142792,39.65571273,8.05
2008/10/10,2.951819163,2.8125,22.02811241,1,9.911643085,16.01173284,1.563407865,3.469999931,38.50974792,7.76
2008/10/13,3.362268398,3.101,24.0402141,1.245,11.086163,18.99065988,1.84808125,3.628571356,41.15479462,8.8
2008/10/14,3.173815481,2.793,21.80455831,1.1875,10.39450127,17.94803541,1.806757694,3.434285646,36.24446863,8.89
2008/10/15,2.986887263,2.436,22.1175111,1.065,9.781140872,16.87562168,1.61161868,3.215714221,34.14575399,7.77
2008/10/16,3.107033621,2.5145,23.36943703,1.1675,10.36187572,18.01506127,1.767729891,3.349999933,35.36500726,8.38
2008/10/17,2.970115563,2.5325,22.83293014,1.08,10.11392152,17.82143101,1.756251126,3.328571362,35.89801415,8.86
2008/10/20,3.001829323,2.6485,25.41137654,1.125,10.46627749,18.4097691,1.790687422,3.399999932,37.81683896,9.4
2008/10/21,2.789896025,2.5115,23.57818699,1.105,9.950793749,17.39693391,1.652942236,2.978571369,36.6442238,9.1
2008/10/22,2.953953743,2.4995,21.73007853,1.0325,9.513611335,16.03407479,1.590956902,2.957142798,35.73811208,8.87
2008/10/23,2.995425583,2.516,22.74353145,1.0225,9.46793556,16.62241288,1.501422531,2.969999941,35.6315107,8.44
2008/10/24,2.939011684,2.448,23.35451812,0.9425,9.317858015,16.35430945,1.517492803,2.707142803,34.48554589,8.1
2008/10/27,2.808192425,2.479,23.35451812,1.005,9.298282683,15.77341867,1.600139914,2.562857092,34.30565606,8.13
2008/10/28,3.046655502,2.802,25.18782243,1.13,10.3488255,17.20330365,1.84119399,2.93857137,37.19721845,9.18
2008/10/29,3.18814766,2.8445,24.74059947,1.0525,9.748515319,17.12883048,1.900883571,3.108571366,36.6442238,9.21
2008/10/30,3.386053718,2.8355,25.36661981,1.0675,10.55110393,16.85327973,1.98123493,3.254285649,38.03004171,9.62
2008/10/31,3.280849419,2.862,26.15651863,1.13,10.45975238,16.6298602,2.01107972,3.537142786,37.98340361,10.28
2008/11/3,3.2616382,2.7885,26.38007273,1.12,10.20527306,16.84583241,1.937615621,3.33714279,38.28988257,10.46
