date,ma10_AAPL,ma10_AMZN,ma10_ASML,ma10_DXCM,ma10_INTC,ma10_MSFT,ma10_NVDA,ma10_NFLX,ma10_PEP,ma10_SGEN,ma30_AAPL,ma30_AMZN,ma30_ASML,ma30_DXCM,ma30_INTC,ma30_MSFT,ma30_NVDA,ma30_NFLX,ma30_PEP,ma30_SGEN,ma100_AAPL,ma100_AMZN,ma100_ASML,ma100_DXCM,ma100_INTC,ma100_MSFT,ma100_NVDA,ma100_NFLX,ma100_PEP,ma100_SGEN,volume_AAPL,volume_AMZN,volume_ASML,volume_DXCM,volume_INTC,volume_MSFT,volume_NVDA,volume_NFLX,volume_PEP,volume_SGEN,cap_AAPL,cap_AMZN,cap_ASML,cap_DXCM,cap_INTC,cap_MSFT,cap_NVDA,cap_NFLX,cap_PEP,cap_SGEN,pe_AAPL,pe_AMZN,pe_ASML,pe_DXCM,pe_INTC,pe_MSFT,pe_NVDA,pe_NFLX,pe_PEP,pe_SGEN,libor_AAPL,libor_AMZN,libor_ASML,libor_DXCM,libor_INTC,libor_MSFT,libor_NVDA,libor_NFLX,libor_PEP,libor_SGEN,comexgold_AAPL,comexgold_AMZN,comexgold_ASML,comexgold_DXCM,comexgold_INTC,comexgold_MSFT,comexgold_NVDA,comexgold_NFLX,comexgold_PEP,comexgold_SGEN,comexcopper_AAPL,comexcopper_AMZN,comexcopper_ASML,comexcopper_DXCM,comexcopper_INTC,comexcopper_MSFT,comexcopper_NVDA,comexcopper_NFLX,comexcopper_PEP,comexcopper_SGEN,nymexwti_AAPL,nymexwti_AMZN,nymexwti_ASML,nymexwti_DXCM,nymexwti_INTC,nymexwti_MSFT,nymexwti_NVDA,nymexwti_NFLX,nymexwti_PEP,nymexwti_SGEN,cbot10tbonds_AAPL,cbot10tbonds_AMZN,cbot10tbonds_ASML,cbot10tbonds_DXCM,cbot10tbonds_INTC,cbot10tbonds_MSFT,cbot10tbonds_NVDA,cbot10tbonds_NFLX,cbot10tbonds_PEP,cbot10tbonds_SGEN
2015/11/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.796389432,-0.975721724,-0.997180553,-0.994549708,-0.854734527,-0.804557521,-0.926019336,-0.902925795,-0.976256613,-0.987833435,1,-0.096014316,-0.895005777,-0.998044288,-0.546164403,0.280456508,-0.96795979,-0.877795061,-0.586182777,-1,0.244590796,0.842111834,0.158539423,-0.223617929,0.050944511,0.050866486,-1,1,0.047890846,-0.13145074,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.443654227,-0.443654227,-0.443654227,-0.443654227,-0.443654227,-0.443654227,-0.443654227,-0.443654227,-0.443654227,-0.443654227,-0.474132016,-0.474132016,-0.474132016,-0.474132016,-0.474132016,-0.474132016,-0.474132016,-0.474132016,-0.474132016,-0.474132016,-0.531089647,-0.531089647,-0.531089647,-0.531089647,-0.531089647,-0.531089647,-0.531089647,-0.531089647,-0.531089647,-0.531089647,-0.015945507,-0.015945507,-0.015945507,-0.015945507,-0.015945507,-0.015945507,-0.015945507,-0.015945507,-0.015945507,-0.015945507
2015/11/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.644514211,-0.979085206,-0.986203781,-0.99558829,-0.865059673,-0.667630777,-0.917045848,-0.932921727,-0.979816809,-0.993560381,1,-0.06036266,-0.894752873,-0.998280101,-0.533510275,0.306330598,-0.968178375,-0.870269456,-0.573025642,-1,0.213615752,0.822216781,0.131922959,-0.244977169,0.028144814,0.027658309,-1,1,0.025296914,-0.155223878,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.4477601,-0.4477601,-0.4477601,-0.4477601,-0.4477601,-0.4477601,-0.4477601,-0.4477601,-0.4477601,-0.4477601,-0.481816934,-0.481816934,-0.481816934,-0.481816934,-0.481816934,-0.481816934,-0.481816934,-0.481816934,-0.481816934,-0.481816934,-0.52942952,-0.52942952,-0.52942952,-0.52942952,-0.52942952,-0.52942952,-0.52942952,-0.52942952,-0.52942952,-0.52942952,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688
2015/11/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.728159051,-0.967672998,-0.991391737,-0.996903406,-0.880615962,-0.780485104,-0.906843313,-0.933686727,-0.9811178,-0.994757239,1,-0.034722736,-0.892841885,-0.997546532,-0.535394337,0.317581756,-0.96774235,-0.868591684,-0.567243622,-1,0.207629442,0.837518904,0.127676244,-0.250997124,0.022205172,0.022405944,-1,1,0.020200263,-0.156233294,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.453185717,-0.453185717,-0.453185717,-0.453185717,-0.453185717,-0.453185717,-0.453185717,-0.453185717,-0.453185717,-0.453185717,-0.483189241,-0.483189241,-0.483189241,-0.483189241,-0.483189241,-0.483189241,-0.483189241,-0.483189241,-0.483189241,-0.483189241,-0.546785391,-0.546785391,-0.546785391,-0.546785391,-0.546785391,-0.546785391,-0.546785391,-0.546785391,-0.546785391,-0.546785391,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688,0.010442688
2015/11/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804482282,-0.974303456,-0.995328534,-0.997301385,-0.860166647,-0.787431458,-0.956309607,-0.894425795,-0.97666019,-0.99589091,1,-0.042342559,-0.893489055,-0.997271366,-0.540136353,0.314024822,-0.967217051,-0.872842158,-0.57012426,-1,0.227545253,0.860868838,0.144779895,-0.235899713,0.038461851,0.03908119,-1,1,0.036615259,-0.138695638,-0.976627468,-0.976627468,-0.976627468,-0.976627468,-0.976627468,-0.976627468,-0.976627468,-0.976627468,-0.976627468,-0.976627468,-0.454212186,-0.454212186,-0.454212186,-0.454212186,-0.454212186,-0.454212186,-0.454212186,-0.454212186,-0.454212186,-0.454212186,-0.511184301,-0.511184301,-0.511184301,-0.511184301,-0.511184301,-0.511184301,-0.511184301,-0.511184301,-0.511184301,-0.511184301,-0.567159674,-0.567159674,-0.567159674,-0.567159674,-0.567159674,-0.567159674,-0.567159674,-0.567159674,-0.567159674,-0.567159674,0.009337903,0.009337903,0.009337903,0.009337903,0.009337903,0.009337903,0.009337903,0.009337903,0.009337903,0.009337903
2015/11/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.724737625,-0.962433305,-0.990517841,-0.996224306,-0.857714505,-0.778527004,-0.956030084,-0.886938701,-0.976009833,-0.993519599,1,-0.048496425,-0.892351523,-0.997125096,-0.530738416,0.341508615,-0.96756336,-0.876434572,-0.558778325,-1,0.242932926,0.874972106,0.162030614,-0.232935927,0.053781051,0.054414383,-1,1,0.052176581,-0.130752924,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.509811994,-0.509811994,-0.509811994,-0.509811994,-0.509811994,-0.509811994,-0.509811994,-0.509811994,-0.509811994,-0.509811994,-0.579384244,-0.579384244,-0.579384244,-0.579384244,-0.579384244,-0.579384244,-0.579384244,-0.579384244,-0.579384244,-0.579384244,0.029132567,0.029132567,0.029132567,0.029132567,0.029132567,0.029132567,0.029132567,0.029132567,0.029132567,0.029132567
2015/11/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.770921303,-0.95535399,-0.978528146,-0.996993528,-0.820272742,-0.80664937,-0.948311965,-0.880607243,-0.979342209,-0.994743084,1,-0.05599855,-0.893279697,-0.997962029,-0.538807755,0.343225103,-0.967482156,-0.868392763,-0.559225032,-1,0.209907602,0.816778513,0.130380818,-0.244542693,0.025489682,0.027022899,-1,1,0.024744158,-0.153512097,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.457438229,-0.534513517,-0.534513517,-0.534513517,-0.534513517,-0.534513517,-0.534513517,-0.534513517,-0.534513517,-0.534513517,-0.534513517,-0.562481135,-0.562481135,-0.562481135,-0.562481135,-0.562481135,-0.562481135,-0.562481135,-0.562481135,-0.562481135,-0.562481135,0.05112273,0.05112273,0.05112273,0.05112273,0.05112273,0.05112273,0.05112273,0.05112273,0.05112273,0.05112273
2015/11/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.833999435,-0.974089989,-0.98574932,-0.997363081,-0.863949076,-0.81034119,-0.961425619,-0.801531421,-0.979343586,-0.990219761,1,-0.059065023,-0.893885487,-0.998647212,-0.529236077,0.328366688,-0.96800381,-0.860626525,-0.561258064,-1,0.177726091,0.76419032,0.100705428,-0.263802823,-0.000129119,-0.000239611,-1,1,-0.002055453,-0.179646435,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.476061295,-0.476061295,-0.476061295,-0.476061295,-0.476061295,-0.476061295,-0.476061295,-0.476061295,-0.476061295,-0.476061295,-0.547962124,-0.547962124,-0.547962124,-0.547962124,-0.547962124,-0.547962124,-0.547962124,-0.547962124,-0.547962124,-0.547962124,-0.579233323,-0.579233323,-0.579233323,-0.579233323,-0.579233323,-0.579233323,-0.579233323,-0.579233323,-0.579233323,-0.579233323,0.020336502,0.020336502,0.020336502,0.020336502,0.020336502,0.020336502,0.020336502,0.020336502,0.020336502,0.020336502
2015/11/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.719399325,-0.973190447,-0.98695272,-0.997118292,-0.888102227,-0.821413045,-0.947419891,-0.859636417,-0.975569311,-0.990382445,1,-0.058855665,-0.895491623,-0.998036043,-0.536145448,0.308951916,-0.967817334,-0.860162667,-0.568272314,-1,0.174480387,0.76420942,0.09421013,-0.268236943,-0.005192048,-0.005267834,-1,1,-0.007164854,-0.180144373,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.47386172,-0.47386172,-0.47386172,-0.47386172,-0.47386172,-0.47386172,-0.47386172,-0.47386172,-0.47386172,-0.47386172,-0.560861809,-0.560861809,-0.560861809,-0.560861809,-0.560861809,-0.560861809,-0.560861809,-0.560861809,-0.560861809,-0.560861809,-0.561122849,-0.561122849,-0.561122849,-0.561122849,-0.561122849,-0.561122849,-0.561122849,-0.561122849,-0.561122849,-0.561122849,0.034628349,0.034628349,0.034628349,0.034628349,0.034628349,0.034628349,0.034628349,0.034628349,0.034628349,0.034628349
2015/11/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.739717538,-0.971774506,-0.979692502,-0.996362353,-0.727175395,-0.830798624,-0.961873201,-0.884292942,-0.979045975,-0.995253048,1,-0.073792762,-0.896245263,-0.997732085,-0.525296415,0.294715543,-0.967663061,-0.862075869,-0.570477556,-1,0.180641346,0.764892965,0.097623816,-0.264259051,-0.000300872,-0.002021379,-1,1,-0.003685142,-0.174309746,-0.976774004,-0.976774004,-0.976774004,-0.976774004,-0.976774004,-0.976774004,-0.976774004,-0.976774004,-0.976774004,-0.976774004,-0.45729159,-0.45729159,-0.45729159,-0.45729159,-0.45729159,-0.45729159,-0.45729159,-0.45729159,-0.45729159,-0.45729159,-0.561959654,-0.561959654,-0.561959654,-0.561959654,-0.561959654,-0.561959654,-0.561959654,-0.561959654,-0.561959654,-0.561959654,-0.5636885,-0.5636885,-0.5636885,-0.5636885,-0.5636885,-0.5636885,-0.5636885,-0.5636885,-0.5636885,-0.5636885,0.044522163,0.044522163,0.044522163,0.044522163,0.044522163,0.044522163,0.044522163,0.044522163,0.044522163,0.044522163
2015/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.793889749,-0.976639883,-0.989064918,-0.995352653,-0.752694685,-0.776688616,-0.964027264,-0.89196734,-0.971200824,-0.995088224,1,-0.067684533,-0.89916284,-0.997386757,-0.522274111,0.295059378,-0.967422772,-0.858042285,-0.576083617,-1,0.166604494,0.747125435,0.081311573,-0.274717808,-0.011262445,-0.013255966,-1,1,-0.015507746,-0.182782955,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.976480932,-0.464036953,-0.464036953,-0.464036953,-0.464036953,-0.464036953,-0.464036953,-0.464036953,-0.464036953,-0.464036953,-0.464036953,-0.578152875,-0.578152875,-0.578152875,-0.578152875,-0.578152875,-0.578152875,-0.578152875,-0.578152875,-0.578152875,-0.578152875,-0.567612436,-0.567612436,-0.567612436,-0.567612436,-0.567612436,-0.567612436,-0.567612436,-0.567612436,-0.567612436,-0.567612436,0.039026381,0.039026381,0.039026381,0.039026381,0.039026381,0.039026381,0.039026381,0.039026381,0.039026381,0.039026381
