,portfolio,market
2011-09-19,1.7194578272985475,1.5708096895515034
2011-09-20,1.706952651156259,1.5562104334533764
2011-09-21,1.6889828668831308,1.5424817540998326
2011-09-22,1.6478141938975555,1.5012597636065266
2011-09-23,1.6503578841308808,1.5109645897468318
2011-09-26,1.6687458948369611,1.5285636198089667
2011-09-27,1.683305313815788,1.538234345111695
2011-09-28,1.6517645919661195,1.5159447670184145
2011-09-29,1.6221325224787766,1.493053067567374
2011-09-30,1.6023147292053186,1.462304106548086
2011-10-03,1.573765237663966,1.429556740107978
2011-10-04,1.6214532663604162,1.4754896531349557
2011-10-05,1.6480857062075907,1.5012481964429694
2011-10-06,1.667288382712754,1.5211194608290588
2011-10-07,1.6278999364609215,1.5107119672617502
2011-10-10,1.6465662599065034,1.536356203071704
2011-10-11,1.6436911511909247,1.5335103472106832
2011-10-12,1.6542272197155568,1.5503378646696029
2011-10-13,1.667427331123039,1.571269976093521
2011-10-14,1.6739781500540212,1.5850276637692473
2011-10-17,1.6488373333530542,1.558558329140579
2011-10-18,1.6488238323283075,1.5675646717190561
2011-10-19,1.6111847464782527,1.5403345113388163
2011-10-20,1.6133111969426852,1.5317309422020682
2011-10-21,1.633052924859251,1.5496948404264361
2011-10-24,1.666824831581085,1.580162189948247
2011-10-25,1.5409097220518992,1.5023670443430894
2011-10-26,1.5461152641427458,1.4901307673784734
2011-10-27,1.5552369389989347,1.5169005913239995
2011-10-28,1.582070792257576,1.5407749144529026
2011-10-31,1.5644655784972121,1.5141113720519792
2011-11-01,1.5299769443260254,1.4803303329455837
2011-11-02,1.5592985025024688,1.4947300826007057
2011-11-03,1.5426359421925524,1.5037396065149684
2011-11-04,1.4743656772782165,1.4658910864118502
2011-11-07,1.458321220545126,1.457880784574203
2011-11-08,1.4743543097482366,1.4767934487712953
2011-11-09,1.4233682578438607,1.4240708910194657
2011-11-10,1.4135159726263864,1.42243612921647
2011-11-11,1.4404245915773906,1.4532824094154264
2011-11-14,1.4125912737892943,1.4307571731345627
2011-11-15,1.4314372848501329,1.4468884649529705
2011-11-16,1.4025979786474725,1.4196476312286723
2011-11-17,1.3704407531054121,1.3858852606387748
2011-11-18,1.3695806411221993,1.3784906613331631
2011-11-21,1.346917255551071,1.3635190335370344
2011-11-22,1.3406898860451977,1.3610230638318424
2011-11-23,1.3150943707981386,1.3354040061967676
2011-11-25,1.2963634722718969,1.3159100369390984
2011-11-28,1.3625812116423621,1.3751179001691696
2011-11-29,1.3505591206215435,1.3650768185773259
2011-11-30,1.383756727625146,1.4067520239277853
2011-12-01,1.3910489868177889,1.414978972432214
2011-12-02,1.3960095995763577,1.4191079811249085
2011-12-05,1.4236332914612662,1.4367216108439438
2011-12-06,1.4251816839845475,1.4355197088822316
2011-12-07,1.4290561965686397,1.441963484443376
2011-12-08,1.4249159366829556,1.4245060042126454
2011-12-09,1.4483722680879527,1.4441289563223654
2011-12-12,1.4393197920178509,1.4234298791473716
2011-12-13,1.4252124618483943,1.400637381086329
2011-12-14,1.4080195463351919,1.3847414693821627
2011-12-15,1.403980958711018,1.3828421482682467
2011-12-16,1.414740873776852,1.3889171765378099
2011-12-19,1.3958280506187348,1.3724832784710843
2011-12-20,1.4481164776492668,1.4208470539791707
2011-12-21,1.4497089267550443,1.411909220031356
2011-12-22,1.4596437042681558,1.429098532604489
2011-12-23,1.4570557952083583,1.4282384905333534
2011-12-27,1.4575571558489164,1.4280196260865523
2011-12-28,1.4366339669373864,1.409705656741669
2011-12-29,1.4710932355879989,1.4347246223845251
2011-12-30,1.4678776023728473,1.4284078115900989
2012-01-03,1.4886791493983897,1.448473697251821
2012-01-04,1.5203678239810037,1.4668955190386619
2012-01-05,1.5265874967131434,1.4751381822573426
2012-01-06,1.5500087535999643,1.4880414985811836
2012-01-09,1.5835697467771725,1.5048363606690855
2012-01-10,1.5827812621066257,1.5060959990004956
2012-01-11,1.617342326379074,1.5231365771646639
2012-01-12,1.6221476651875362,1.5218382226491638
2012-01-13,1.6107405479810273,1.5095277238265958
